code,name,eshop_url
001,Služby pro vydané faktury,
0ND,Náhradní díly,
100,Výrobek,
110,Polotovar,
120,Hutní materiál,
130,Strojní materiál,
140,Spojovací materiál,
300,"Režie - DDHM, DDHIM 2 000 - 40",
301,Režie - spotřeba režij. mat.,
302,Režie - spotřeba čistících pr.,
303,Režie - spotřeba náhrad. dílů,
304,"Režie - ost. materiál,dekorace",
305,Režie - poštovní známky,
306,Režie - dálniční známky,
307,Režie - PHM,
308,Režie - ochranné pomůcky,
309,Režie - spotřeba elektřina,
310,Režie - opravy a udrž.-stroj,
311,Režie - cestovné,
312,Režie - pohoštění,
313,Režie - doprava,
314,Režie - software do nákladů,
315,Režie - telefony,
316,Režie - internet,
317,Režie - Poštovné,
318,Režie - Propagace,
319,"Režie - nájem, pronájem",
320,Režie - školení,
321,Režie - ostatní služby,
322,Režie - parkovné,
323,Režie - dary,
324,Režie - smluvní pokuty a penál,
325,Režie - pojištění,
326,Režie - ostatní provoz.náklady,
327,Režie - stavenky platí firma,
328,Režie - nevratné obaly,
330,Režie - opravy a udrž.- auta,
331,Zboží-cenové dorovnání,
335,Režie - plyn,
336,Režie - voda,
337,Režie - Spotřeba nealko nápoje,
399,Výdaje příštích období-loňské,
400,Fond kulturních potřeb,
800,Různé,
900,Služby nakupované (režie),
901,Záloha_PŘIJATÁ FAKTURA,
902,Záloha_VYDANÁ FAKTURA,
907,Doprava - zahraničí,
908,Doprava,
909,NV - Služby nedokončené výroby,
910,NV - Pomocný materiál,
911,NV - Cestovní náhrady,
999,Zboží,
ALA,suché chladiče,
ALB,izolace,https://www.esl.cz/izolace
ALC,CB pájené mědí,https://www.esl.cz/deskove-vymeniky-alfa-laval
ALK,kit komponenty,
ALN,AN celonerezové,
ALS,skládané výměníky,
ALV,výměníkové stanice,
ALZ,"náhradní díly desky, těsnění..",https://www.esl.cz/skladane-vymeniky-tesneni-a-nd
ATV,Pájecí sortiment,
BHC,kompenzátory,
BUG,Bugatti kulové kohouty,
CEA,Čerpadla Grundfos,
CEE,Čerpadla Calpeda,
CEG,Čerpadla Grundfos,
CEK,Čerpadla IMP PUMPS,
CEM,Čerpadla Grundfos,
CES,Čerpadla WILO,
CET,Čerpadla Grunfos TPE,
CEW,Čerpadla Wilo,
CEY,Čerpadla Wilo,
COA,press voda,
COB,press plyn,
COC,conex,
COD,oyster,
COE,push,
COM,mosazné závitové fitinky,
COP,pájecí fitiny,
COS,press solár,
COT,trubky,
COX,press chlazení,
CR0,Carrier - jiní výrobci,
CR1,Cerrier - splitové jednotky,
CR2,Carrier - odlvhčovače,
CR3,Carrier - tepelná čerpadla,
CR4,Carrier - mobilní jednotky,
ČER,černé záv. fiting.,
DUF,DUCO TECH Filtry,https://www.esl.cz/filtracni-armatury
EDE,Detektory Bureš,
EDU,Dutinky,
EEL,Elkektroměr,
EHL,Elektromaterial,
EJI,Jističe,
EK1,Elektromaterial,
EK2,Elektromaterial,
EKA,Elektromaterial,
EKR,Elektromaterial,
ELE,Elektromateriál,
EMA,Elektromaterial,
ERE,Elektromaterial,
ERO,Elektromaterial,
ESP,Elektromaterial,
ESV,Elektromaterial,
ETE,Elektromaterial,
ETR,Elektromaterial,
EVI,Elektromaterial,
EXY,Elektromaterial,
EZA,Elektromaterial,
EZD,Elektromaterial,
FID,Filtry,
FIM,Filtry,
FIX,Filtry,
FLX,Flexira,
GEN,Geberit,
HA1,Hadice a spony na hadice,
HAN,Hadice,
HAP,Hadice plyn,
HAZ,Hadice,
HH0,Holland Heater - příslušenství,https://www.esl.cz/prislusenstvi-8
HH1,Holland Heater - HHB + HHW,https://www.esl.cz/ohrivaci-jednotky
HH2,Holland Heater - HHO + Série P,https://www.esl.cz/olejove-ohrivace
HH3,Holland Heater - LTU + LCSA,https://www.esl.cz/ohrivaci-jednotky
HH4,Holland Heater - ventilátory,https://www.esl.cz/ventilatory
HH5,Holland Heater - odvlčovače,
IT1,plynoměry,https://www.esl.cz/plynomery-itron
IT2,vodoměry,https://www.esl.cz/vodomery-itron
IT3,měřiče tepla,https://www.esl.cz/merice-tepla-itron-
ITF,plynové filtry,https://www.esl.cz/plynove-filtry
IVA,potrubí a press fitinky alpex,
IVB,nářadí a pomůcky pro montáž,
IVC,závitové fitinky mosazné-nikl.,
IVČ,Čerpadla DAB,
IVD,topenářské atmatury,
IVE,rozdělovače pro podl. vytáp.,
IVF,Fan-coil,
IVG,regulačí a pojišť. armatury,
IVH,Termostaty a rozvodnice,
IVI,zásobníky,
IVJ,filtrace a úprava vody,
IVK,armatury voda-závit. a sanit.,
IVL,závitové fitinky mosazné,
IVM,nerezové a přírubové armatury,
IVN,trub. a fitin. z uhl. a ner. o,
IVO,alpex gas-armatury plyn,
IVP,solární systémy,
IVT,Tepelná čerpadla,
IVZ,náhradní díly,
IZ1,Izolace,
IZ2,Izolace PAROC,
IZA,Izolace Armaflex,
IZT,Izolace TUBEX a TUBOLIT,
JSC,J.S.C. hydraulika,
KLL,Klapky,
KLM,Klapky,
KLU,Klapky,
KLZ,Klapky,
KO1,Kolena HTB,
KO2,Kolena KGB,
KO3,PPR,
KOB,Koleno bronz,
KOC,Koleno CU pájecí i lisovací,
KOM,Koleno mosaz,
KON,koňařík,
KOP,Koleno pozink,
KOV,koleno várné,
KU1,Kulové kohouty,
KU2,Kulové kohouty,
KU3,Kulové kohouty,
KU4,Kulové kohouty plastové,
KU5,Kulové kohouty plyn,
KU6,Kulové kohouty,
KU7,Kulové kohouty,
KUF,Kulové kohouty s filtrem,
KUK,Kulové kohouty,
KUP,Kulové kohouty přivařovací,
KUR,Kulové kohouty,
KUV,Kulové kohouty,
KUZ,Kulové kohouty,
MA1,Manometry,
MA2,Manometry,
MAK,Makita,
MAP,Manometry příslušenství,
MAS,Manometry smyčky,
MAT,Snímače tlaku a teploty,
MEA,Čerpad. skupiny příslušenství,
MEB,Volné !!!,
MEC,Stanice DUCOTECH !!!!,
MED,Volné !!!!,
MEE,systémy pro flexibilní připoj.,
MEF,ventily pojistné a směšovací,
MEG,Servisní armatůry,
MEH,Seppelfricke,
MEI,Volné !!!!,
MEK,regulační ventily Balorex,
MEL,ocelové kohouty Ballomax,
MEM,Zásobníky,
MEN,Čerpadlové skupiny,
MEO,flamco,
MET,Metabo,
MFF,"pojistné ventily do 1/2"" - 1""",
MRU,Analyzátory,
MZA,Materiál zákazníka,
NA1,Nátrubky Hostalen a další,
NA3,PPR,
NAB,Nátrubek bronz,
NAC,Cu a bronz tvarovky,
NAM,Prodloužení mosaz,
NAP,Nátrubek pozink,
NAV,Nátrubek várný,
ND1,Náhradní díly,
NE1,Nerez,
NE2,Nerez plech,
NE3,Nerez T-kus,
NED,Nerez dno,
NEK,Nerezové materiály - Kolena,
NEN,Nerez mufna,
NEO,Nerez objímka,
NEP,Nerezové materiály - Příruby,
NER,Nerez tvarovky,
NES,Nerez šroubení,
NET,Nerez trubka,
NEV,Nerez ventily,
NEZ,Nerez zátka,
OBD,Objímky,
OBM,Objímky,
OBZ,Objímka záv.s gumou,
OD1,Odvaděč kondenzátu KOMO,
OD2,Odvaděč kondenzátu,
OD3,Odvaděč kondenzátu KOMO,
OD4,Odvaděč kondenzátu KOMO,
ODK,Kompenzátor přírubový,
PK1,Čistící chemie,
PM2,"Hutní materiál profil, tyč ...",
PM4,Plechy,
PM5,Ocel - různé,
PM6,"Varné redukce, dna.",
PM7,Úchytky,
PM8,Různé,
PMD,Dráty,
PME,Elektromateriál,
PMH,Hmoždinky,
PMK,Kotouče řezací a brusné,
PMM,Matice,
PMN,Nosníky,
PMO,"Agregáty, regulátory, různé",
PMP,Podkložky,
PMS,"Šrouby, vruty",
PO1,"Potrubí HT, HTEM",
PO2,Potrubí KGEM,
PO3,"Potrubí PE, PPR, PU..atd.",
POC,Potrubí CU,
PON,Potrubí CATS,
POP,Potrubí pozinkované,
POV,Potrubí ocelové,
POZ,Pozink tvarovky,
PP1,Různé plyny,
PR0,Příruby,
PR1,Příruby,
PR4,Příruby,
PRI,Příruby,
PRP,Příruby,
PRZ,Příruby,
R00,Poptávka,
R01,Elektrické stroje 1,
R02,Elektrické stroje 2,
R03,Spotřební materiál 1,
R04,Spotřební materiál 2,
R05,Spotřební materiál 3,
R06,Náhradní díly,
RA1,Radiátory a příslušenství,
RA2,Radiátory,
RAH,Hlavice,
RAP,Radiátorové příslušenství,
RAR,Radiátorové příslušenství,
RAT,Rozdělovače RS,
RE1,Redukce HTR,
RE2,Redukce KGR,
RE3,Redukce PPR,
REB,Redukce bronz,
REC,Redukce Cu,
REF,REFLEX,
REM,Redukce mosaz,
REV,Redukce varná,
RP1,Přechod různé,
RP3,Přechodka PPR,
RPB,Přechodka bronz,
RPC,"Přechodka, redukce různé",
RPM,Přechodka nerez,
RPP,Přechodka pozink,
RPV,Přechodky ocelové,
RUA,obecné,
RUF,Flama GAZ - Ventily plyn,
RUS,výměníky swep,
RVB,Vsuvky bronzové,
RVC,Vsuvka CU,
RVM,Vsuvka mosaz,
RVN,Vsuvka CATS,
RVP,Vsuvka pozink,
RVV,Vsuvka černá,
SA1,Sanita,
SA3,WC příslušenství,
SA4,Sifonové přislušenství,
SA5,Sanita různé,
SBM,ESBE,
SBP,ESBE,
SIE,SIEMENS,
SP1,"Tvarovky HTEA, HTU, ..atd.",
SP2,Tvarovky KGEA a KGU,
SP3,"Spojky PPR, PP, PVC atd.",
SPC,Spojka CU,
SPM,Spojka mosaz,
SPX,Spojky svěrné a různé,
SPZ,Spojky zahradní,
SR1,Šroubení k čerpadlům,
SR2,Šroubení k vodoměrům,
SRM,Šroubení mosazné,
SRP,Šroubení pozink,
SRR,Řoubení rúzné,
SRV,Šroubení várné,
STE,Steamex,
STS,STASTO,
TE1,Teploměry,
TE2,Termomanometry,
TE3,Termostaty,
TEJ,Teplotní jímka,
TK2,Tvarovky KGRE a HTRE,
TK3,T-kus a různé,
TKB,T-kus bronz,
TKC,T-kus-CU,
TKM,T-kus mosaz,
TKP,T-kus pozink,
TKV,T-kus várný,
TL1,Odkouření,
TL2,Odkouření,
TL3,Odkouření,
TL4,Odkouření,
TL5,Odkouření,
TL6,Regulace regulus,
TL9,Odkouření,
TLB,Kotle,
TLO,Ohřívače,
TLP,Kotle,
TLT,Kotle,
TLW,Kotle Wolf,
TS1,Těsnění,
TS2,Těsnění,
TS3,Konopí,
TS4,Teflonová páska,
TSG,Těsnění grafitové,
TSM,Těsnění manometrové,
TSN,Těsnění,
TSP,Těsnění,
TST,Těsnění,
TSV,Těsnění,
VE3,Ventily plastové,
VEH,Ventil havarijní,
VEO,Ventil odvzušňovací,
VEP,Ventily různé,
VER,Ventily různé,
VET,Ventily termostatické,
VEU,Ventily uzavírací,
VEV,Ventily vyvyžovací,
VEX,Ventily vypouštěcí,
VEY,Ventily různé,
VEZ,Ventily zpětný,
VOB,Vodoměry,
VY1,Výměníky,
VYV,Výměníky,
WAL,Walter,
XPA,expanzomaty,
XPC,expanzomaty CIMM,
XPG,expanzomaty Global,
XPR,expanzomaty,
ZT1,Zátka HTM,
ZT3,Zátky,
ZTC,Víčko Cu,
ZTM,"Zátka mosaz 3/8""",
ZTP,Zátky pozink,
ZTV,Zátky varné,
